"","Generation","Identity","Population","Frequency","Group_id","Unique_id"
"1",0,"genotype-0",50,0.5,"genotype-0","genotype-0_0"
"7",0,"genotype-2",0,0,"genotype-2","genotype-2_0"
"21",0,"genotype-2",0,0,"genotype-2a","genotype-2a_0"
"2",0,"genotype-1",0,0,"genotype-1","genotype-1_0"
"13",0,"genotype-8",0,0,"genotype-8","genotype-8_0"
"27",0,"genotype-8",0,0,"genotype-8a","genotype-8a_0"
"9",0,"genotype-4",0,0,"genotype-4","genotype-4_0"
"23",0,"genotype-4",0,0,"genotype-4a","genotype-4a_0"
"6",0,"genotype-13",0,0,"genotype-13","genotype-13_0"
"5",0,"genotype-12",0,0,"genotype-12","genotype-12_0"
"19",0,"genotype-12",0,0,"genotype-12a","genotype-12a_0"
"11",0,"genotype-6",0,0,"genotype-6","genotype-6_0"
"25",0,"genotype-6",0,0,"genotype-6a","genotype-6a_0"
"14",0,"genotype-9",0,0,"genotype-9","genotype-9_0"
"3",0,"genotype-10",0,0,"genotype-10","genotype-10_0"
"12",0,"genotype-7",0,0,"genotype-7","genotype-7_0"
"26",0,"genotype-7",0,0,"genotype-7a","genotype-7a_0"
"17",0,"genotype-10",0,0,"genotype-10a","genotype-10a_0"
"28",0,"genotype-9",0,0,"genotype-9a","genotype-9a_0"
"20",0,"genotype-13",0,0,"genotype-13a","genotype-13a_0"
"4",0,"genotype-11",0,0,"genotype-11","genotype-11_0"
"18",0,"genotype-11",0,0,"genotype-11a","genotype-11a_0"
"8",0,"genotype-3",0,0,"genotype-3","genotype-3_0"
"22",0,"genotype-3",0,0,"genotype-3a","genotype-3a_0"
"16",0,"genotype-1",0,0,"genotype-1a","genotype-1a_0"
"10",0,"genotype-5",0,0,"genotype-5","genotype-5_0"
"24",0,"genotype-5",0,0,"genotype-5a","genotype-5a_0"
"15",0,"genotype-0",50,0.5,"genotype-0a","genotype-0a_0"
"29",8.5,"genotype-0",40.5,0.5,"genotype-0","genotype-0_8.5"
"35",8.5,"genotype-2",0,0,"genotype-2","genotype-2_8.5"
"49",8.5,"genotype-2",0,0,"genotype-2a","genotype-2a_8.5"
"30",8.5,"genotype-1",0,0,"genotype-1","genotype-1_8.5"
"41",8.5,"genotype-8",0,0,"genotype-8","genotype-8_8.5"
"55",8.5,"genotype-8",0,0,"genotype-8a","genotype-8a_8.5"
"37",8.5,"genotype-4",0,0,"genotype-4","genotype-4_8.5"
"51",8.5,"genotype-4",0,0,"genotype-4a","genotype-4a_8.5"
"34",8.5,"genotype-13",0,0,"genotype-13","genotype-13_8.5"
"33",8.5,"genotype-12",0,0,"genotype-12","genotype-12_8.5"
"47",8.5,"genotype-12",0,0,"genotype-12a","genotype-12a_8.5"
"39",8.5,"genotype-6",0,0,"genotype-6","genotype-6_8.5"
"53",8.5,"genotype-6",0,0,"genotype-6a","genotype-6a_8.5"
"42",8.5,"genotype-9",0,0,"genotype-9","genotype-9_8.5"
"31",8.5,"genotype-10",0,0,"genotype-10","genotype-10_8.5"
"40",8.5,"genotype-7",0,0,"genotype-7","genotype-7_8.5"
"54",8.5,"genotype-7",0,0,"genotype-7a","genotype-7a_8.5"
"45",8.5,"genotype-10",0,0,"genotype-10a","genotype-10a_8.5"
"56",8.5,"genotype-9",0,0,"genotype-9a","genotype-9a_8.5"
"48",8.5,"genotype-13",0,0,"genotype-13a","genotype-13a_8.5"
"32",8.5,"genotype-11",0,0,"genotype-11","genotype-11_8.5"
"46",8.5,"genotype-11",0,0,"genotype-11a","genotype-11a_8.5"
"36",8.5,"genotype-3",0,0,"genotype-3","genotype-3_8.5"
"50",8.5,"genotype-3",0,0,"genotype-3a","genotype-3a_8.5"
"44",8.5,"genotype-1",0,0,"genotype-1a","genotype-1a_8.5"
"38",8.5,"genotype-5",0,0,"genotype-5","genotype-5_8.5"
"52",8.5,"genotype-5",0,0,"genotype-5a","genotype-5a_8.5"
"43",8.5,"genotype-0",40.5,0.5,"genotype-0a","genotype-0a_8.5"
"57",17,"genotype-0",31,0.31,"genotype-0","genotype-0_17"
"64",17,"genotype-2",0,0,"genotype-2","genotype-2_17"
"78",17,"genotype-2",0,0,"genotype-2a","genotype-2a_17"
"59",17,"genotype-1",0,0,"genotype-1","genotype-1_17"
"69",17,"genotype-8",0,0,"genotype-8","genotype-8_17"
"83",17,"genotype-8",0,0,"genotype-8a","genotype-8a_17"
"66",17,"genotype-4",0,0,"genotype-4","genotype-4_17"
"80",17,"genotype-4",0,0,"genotype-4a","genotype-4a_17"
"63",17,"genotype-13",0,0,"genotype-13","genotype-13_17"
"62",17,"genotype-12",0,0,"genotype-12","genotype-12_17"
"76",17,"genotype-12",0,0,"genotype-12a","genotype-12a_17"
"67",17,"genotype-6",0,0,"genotype-6","genotype-6_17"
"81",17,"genotype-6",0,0,"genotype-6a","genotype-6a_17"
"70",17,"genotype-9",0,0,"genotype-9","genotype-9_17"
"60",17,"genotype-10",0,0,"genotype-10","genotype-10_17"
"68",17,"genotype-7",0,0,"genotype-7","genotype-7_17"
"82",17,"genotype-7",0,0,"genotype-7a","genotype-7a_17"
"74",17,"genotype-10",0,0,"genotype-10a","genotype-10a_17"
"84",17,"genotype-9",0,0,"genotype-9a","genotype-9a_17"
"77",17,"genotype-13",0,0,"genotype-13a","genotype-13a_17"
"61",17,"genotype-11",0,0,"genotype-11","genotype-11_17"
"75",17,"genotype-11",0,0,"genotype-11a","genotype-11a_17"
"65",17,"genotype-3",0,0,"genotype-3","genotype-3_17"
"79",17,"genotype-3",0,0,"genotype-3a","genotype-3a_17"
"73",17,"genotype-1",0,0,"genotype-1a","genotype-1a_17"
"58",17,"genotype-5",19,0.19,"genotype-5","genotype-5_17"
"72",17,"genotype-5",19,0.19,"genotype-5a","genotype-5a_17"
"71",17,"genotype-0",31,0.31,"genotype-0a","genotype-0a_17"
"86",21,"genotype-0",20.25,0.249691738594328,"genotype-0","genotype-0_21"
"92",21,"genotype-2",0,0,"genotype-2","genotype-2_21"
"106",21,"genotype-2",0,0,"genotype-2a","genotype-2a_21"
"87",21,"genotype-1",0,0,"genotype-1","genotype-1_21"
"97",21,"genotype-8",0,0,"genotype-8","genotype-8_21"
"111",21,"genotype-8",0,0,"genotype-8a","genotype-8a_21"
"94",21,"genotype-4",0,0,"genotype-4","genotype-4_21"
"108",21,"genotype-4",0,0,"genotype-4a","genotype-4a_21"
"91",21,"genotype-13",0,0,"genotype-13","genotype-13_21"
"90",21,"genotype-12",0,0,"genotype-12","genotype-12_21"
"104",21,"genotype-12",0,0,"genotype-12a","genotype-12a_21"
"95",21,"genotype-6",0,0,"genotype-6","genotype-6_21"
"109",21,"genotype-6",0,0,"genotype-6a","genotype-6a_21"
"98",21,"genotype-9",0,0,"genotype-9","genotype-9_21"
"88",21,"genotype-10",0,0,"genotype-10","genotype-10_21"
"96",21,"genotype-7",0,0,"genotype-7","genotype-7_21"
