Generation	Identity	Population
25	genotype-1	26.1
44	genotype-1	72.7
66	genotype-1	21.9
75	genotype-1	3.0
90	genotype-1	3.0
0	genotype-2	0.0
17	genotype-2	0.0
25	genotype-2	0.0
44	genotype-2	0.0
66	genotype-2	20.9
75	genotype-2	20.9
90	genotype-2	0.0
0	genotype-3	0.0
17	genotype-3	38.0
25	genotype-3	43.2
44	genotype-3	0.0
66	genotype-3	0.0
75	genotype-3	0.0
90	genotype-3	0.0
0	genotype-4	0.0
17	genotype-4	0.0
25	genotype-4	0.0
44	genotype-4	0.0
66	genotype-4	0.0
75	genotype-4	100.0
90	genotype-4	100.0
0	genotype-5	0.0
17	genotype-5	0.0
25	genotype-5	11.700000000000001
44	genotype-5	0.0
66	genotype-5	0.0
75	genotype-5	0.0
90	genotype-5	10.299999999999999
44	genotype-6	3.0
66	genotype-6	32.9
75	genotype-6	3.0
90	genotype-6	3.0
0	genotype-7	0.0
17	genotype-7	0.0
25	genotype-7	0.0
44	genotype-7	0.0
66	genotype-7	27.799999999999997
75	genotype-7	82.2
90	genotype-7	80.3
0	genotype-8	0.0
17	genotype-8	0.0
25	genotype-8	0.0
44	genotype-8	33.6
66	genotype-8	45.2
75	genotype-8	91.75
90	genotype-8	89.85000000000001
0	genotype-9	0.0
17	genotype-9	0.0
25	genotype-9	0.0
44	genotype-9	8.200000000000001
66	genotype-9	23.466666666666665
75	genotype-9	1.9
90	genotype-9	5.2
0	genotype-0	100.0
