Generation	Identity	Population
0	1	0.0
0	6	0.0
0	5	0.0
0	12	0.0
0	4	0.0
0	13	0.0
0	10	0.0
0	11	0.0
0	3	0.0
0	14	0.0
0	7	0.0
0	8	0.0
0	2	0.0
0	0	100.0
0	9	0.0
17	7	0.0
17	1	0.0
17	6	12.5
17	5	0.0
17	12	0.0
17	8	0.0
17	4	0.0
17	0	49.5
17	13	0.0
17	10	0.0
17	3	38.0
17	2	0.0
17	14	0.0
17	9	0.0
17	11	0.0
25	7	11.700000000000001
25	10	0.0
25	6	0.0
25	9	0.0
25	12	0.0
25	14	0.0
25	1	26.1
25	0	12.399999999999991
25	2	0.0
25	11	0.0
25	3	43.2
25	8	0.0
25	13	0.0
25	4	0.0
25	5	6.6000000000000005
44	14	8.200000000000001
44	9	40.300000000000004
44	10	0.0
44	12	11.450000000000001
44	0	0.0
44	13	6.266666666666667
44	11	33.6
44	8	0.0
44	6	15.299999999999999
44	5	10.4
44	3	0.0
44	2	0.0
44	7	0.0
44	4	27.3
44	1	100.0
66	8	20.9
66	0	0.0
66	5	6.2
66	13	5.7
66	7	0.0
66	11	45.2
66	10	27.799999999999997
66	6	18.099999999999998
66	2	0.0
66	1	100.0
66	14	23.466666666666665
66	12	0.0
66	9	48.9
66	4	78.10000000000001
66	3	0.0
75	12	12.049999999999999
75	1	100.0
75	2	100.0
75	14	1.9
75	3	0.0
75	13	25.566666666666666
75	4	100.0
75	6	17.5
75	8	20.9
75	11	91.75
75	5	0.0
75	7	0.0
75	9	5.7
75	10	82.2
75	0	0.0
90	8	0.0
90	7	10.299999999999999
90	1	100.0
90	14	5.2
90	9	8.0
90	4	100.0
90	2	100.0
90	13	29.86666666666667
90	10	80.3
90	5	0.0
90	11	89.85000000000001
90	3	0.0
90	12	6.15
90	6	19.1
90	0	0.0
