	candidate	identity	score
0	genotype-19	genotype-6	2.01
1	genotype-6	genotype-25	4.01
2	genotype-19	genotype-25	3.01
3	genotype-25	genotype-14	3.01
4	genotype-6	genotype-14	4.01
5	genotype-19	genotype-14	3.01
6	genotype-14	genotype-10	4.01
7	genotype-25	genotype-10	4.01
8	genotype-6	genotype-10	4.01
9	genotype-19	genotype-10	4.01
10	genotype-10	genotype-4	1.01
11	genotype-14	genotype-4	4.01
12	genotype-25	genotype-4	4.01
13	genotype-6	genotype-4	4.01
14	genotype-19	genotype-4	4.01
15	genotype-4	genotype-9	0.0
16	genotype-10	genotype-9	0.0
17	genotype-14	genotype-9	0.0
18	genotype-25	genotype-9	0.0
19	genotype-6	genotype-9	0.0
20	genotype-19	genotype-9	0.0
21	genotype-9	genotype-20	-3.0
22	genotype-4	genotype-20	1.01
23	genotype-10	genotype-20	1.01
24	genotype-14	genotype-20	3.01
25	genotype-25	genotype-20	3.01
26	genotype-6	genotype-20	3.01
27	genotype-19	genotype-20	3.01
28	genotype-20	genotype-28	-3.0
29	genotype-9	genotype-28	-3.0
30	genotype-4	genotype-28	1.01
31	genotype-10	genotype-28	1.01
32	genotype-14	genotype-28	3.01
33	genotype-25	genotype-28	3.01
34	genotype-6	genotype-28	3.01
35	genotype-19	genotype-28	3.01
36	genotype-28	genotype-5	0.0
37	genotype-20	genotype-5	-2.0
38	genotype-9	genotype-5	-3.0
39	genotype-4	genotype-5	1.01
40	genotype-10	genotype-5	1.01
41	genotype-14	genotype-5	3.01
42	genotype-25	genotype-5	3.01
43	genotype-6	genotype-5	3.01
44	genotype-19	genotype-5	3.01
45	genotype-5	genotype-3	-3.0
46	genotype-28	genotype-3	0.0
47	genotype-20	genotype-3	0.0
48	genotype-9	genotype-3	-3.0
49	genotype-4	genotype-3	1.01
50	genotype-10	genotype-3	1.01
51	genotype-14	genotype-3	3.01
52	genotype-25	genotype-3	3.01
53	genotype-6	genotype-3	3.01
54	genotype-19	genotype-3	3.01
55	genotype-3	genotype-16	-3.0
56	genotype-5	genotype-16	-3.0
57	genotype-28	genotype-16	1.01
58	genotype-20	genotype-16	-2.0
59	genotype-9	genotype-16	-3.0
60	genotype-4	genotype-16	1.01
61	genotype-10	genotype-16	1.01
62	genotype-14	genotype-16	3.01
63	genotype-25	genotype-16	3.01
64	genotype-6	genotype-16	3.01
65	genotype-19	genotype-16	3.01
66	genotype-16	genotype-30	-2.0
67	genotype-3	genotype-30	-2.0
68	genotype-5	genotype-30	-2.0
69	genotype-28	genotype-30	-2.0
70	genotype-20	genotype-30	-2.0
71	genotype-9	genotype-30	-2.0
72	genotype-4	genotype-30	0.0
73	genotype-10	genotype-30	0.0
74	genotype-14	genotype-30	0.0
75	genotype-25	genotype-30	0.0
76	genotype-6	genotype-30	1.01
77	genotype-19	genotype-30	1.01
78	genotype-30	genotype-24	-3.0
79	genotype-16	genotype-24	-2.0
80	genotype-3	genotype-24	-2.0
81	genotype-5	genotype-24	-2.0
82	genotype-28	genotype-24	-2.0
83	genotype-20	genotype-24	-2.0
84	genotype-9	genotype-24	-2.0
85	genotype-4	genotype-24	0.0
86	genotype-10	genotype-24	0.0
87	genotype-14	genotype-24	0.0
88	genotype-25	genotype-24	0.0
89	genotype-6	genotype-24	1.01
90	genotype-19	genotype-24	1.01
91	genotype-24	genotype-15	-1.0
92	genotype-30	genotype-15	-3.0
93	genotype-16	genotype-15	-2.0
94	genotype-3	genotype-15	-2.0
95	genotype-5	genotype-15	-2.0
96	genotype-28	genotype-15	-2.0
97	genotype-20	genotype-15	-2.0
98	genotype-9	genotype-15	-2.0
99	genotype-4	genotype-15	0.0
100	genotype-10	genotype-15	0.0
101	genotype-14	genotype-15	0.0
102	genotype-25	genotype-15	0.0
103	genotype-6	genotype-15	1.01
104	genotype-19	genotype-15	1.01
105	genotype-15	genotype-29	-1.0
106	genotype-24	genotype-29	0.0
107	genotype-30	genotype-29	-1.0
108	genotype-16	genotype-29	-2.0
109	genotype-3	genotype-29	-2.0
110	genotype-5	genotype-29	-2.0
111	genotype-28	genotype-29	-2.0
112	genotype-20	genotype-29	-2.0
113	genotype-9	genotype-29	-2.0
114	genotype-4	genotype-29	0.0
115	genotype-10	genotype-29	0.0
116	genotype-14	genotype-29	1.01
117	genotype-25	genotype-29	1.01
118	genotype-6	genotype-29	1.01
119	genotype-19	genotype-29	2.01
120	genotype-29	genotype-22	-3.0
121	genotype-15	genotype-22	-3.0
122	genotype-24	genotype-22	-3.0
123	genotype-30	genotype-22	-3.0
124	genotype-16	genotype-22	-3.0
125	genotype-3	genotype-22	-3.0
126	genotype-5	genotype-22	-3.0
127	genotype-28	genotype-22	0.0
128	genotype-20	genotype-22	-2.0
129	genotype-9	genotype-22	-3.0
130	genotype-4	genotype-22	1.01
131	genotype-10	genotype-22	1.01
132	genotype-14	genotype-22	3.01
133	genotype-25	genotype-22	3.01
134	genotype-6	genotype-22	3.01
135	genotype-19	genotype-22	3.01
136	genotype-22	genotype-27	1.01
137	genotype-29	genotype-27	-3.0
138	genotype-15	genotype-27	-3.0
139	genotype-24	genotype-27	-3.0
140	genotype-30	genotype-27	-3.0
141	genotype-16	genotype-27	-2.0
142	genotype-3	genotype-27	-2.0
143	genotype-5	genotype-27	-2.0
144	genotype-28	genotype-27	0.0
145	genotype-20	genotype-27	0.0
146	genotype-9	genotype-27	-2.0
147	genotype-4	genotype-27	1.01
148	genotype-10	genotype-27	1.01
149	genotype-14	genotype-27	2.01
150	genotype-25	genotype-27	2.01
151	genotype-6	genotype-27	2.01
152	genotype-19	genotype-27	2.01
153	genotype-27	genotype-17	-3.0
154	genotype-22	genotype-17	-3.0
155	genotype-29	genotype-17	-3.0
156	genotype-15	genotype-17	-3.0
157	genotype-24	genotype-17	-3.0
158	genotype-30	genotype-17	-3.0
159	genotype-16	genotype-17	-3.0
160	genotype-3	genotype-17	-3.0
161	genotype-5	genotype-17	-3.0
162	genotype-28	genotype-17	0.0
163	genotype-20	genotype-17	-2.0
164	genotype-9	genotype-17	-3.0
165	genotype-4	genotype-17	1.01
166	genotype-10	genotype-17	1.01
167	genotype-14	genotype-17	3.01
168	genotype-25	genotype-17	3.01
169	genotype-6	genotype-17	3.01
170	genotype-19	genotype-17	3.01
171	genotype-17	genotype-23	-2.0
172	genotype-27	genotype-23	-3.0
173	genotype-22	genotype-23	-2.0
174	genotype-29	genotype-23	-3.0
175	genotype-15	genotype-23	-3.0
176	genotype-24	genotype-23	-3.0
177	genotype-30	genotype-23	-3.0
178	genotype-16	genotype-23	-2.0
179	genotype-3	genotype-23	-2.0
180	genotype-5	genotype-23	-2.0
181	genotype-28	genotype-23	1.01
182	genotype-20	genotype-23	1.01
183	genotype-9	genotype-23	-2.0
184	genotype-4	genotype-23	1.01
185	genotype-10	genotype-23	1.01
186	genotype-14	genotype-23	2.01
187	genotype-25	genotype-23	2.01
188	genotype-6	genotype-23	2.01
189	genotype-19	genotype-23	2.01
190	genotype-23	genotype-8	-3.0
191	genotype-17	genotype-8	-3.0
192	genotype-27	genotype-8	-3.0
193	genotype-22	genotype-8	-3.0
194	genotype-29	genotype-8	-3.0
195	genotype-15	genotype-8	-3.0
196	genotype-24	genotype-8	-3.0
197	genotype-30	genotype-8	-3.0
198	genotype-16	genotype-8	-3.0
199	genotype-3	genotype-8	-3.0
200	genotype-5	genotype-8	-3.0
201	genotype-28	genotype-8	1.01
202	genotype-20	genotype-8	-2.0
203	genotype-9	genotype-8	-3.0
204	genotype-4	genotype-8	1.01
205	genotype-10	genotype-8	1.01
206	genotype-14	genotype-8	3.01
207	genotype-25	genotype-8	3.01
208	genotype-6	genotype-8	3.01
209	genotype-19	genotype-8	3.01
210	genotype-8	genotype-7	0.0
211	genotype-23	genotype-7	-3.0
212	genotype-17	genotype-7	0.0
213	genotype-27	genotype-7	-3.0
214	genotype-22	genotype-7	0.0
215	genotype-29	genotype-7	-3.0
216	genotype-15	genotype-7	-3.0
217	genotype-24	genotype-7	-3.0
218	genotype-30	genotype-7	-3.0
219	genotype-16	genotype-7	-2.0
220	genotype-3	genotype-7	-2.0
221	genotype-5	genotype-7	0.0
222	genotype-28	genotype-7	1.01
223	genotype-20	genotype-7	0.0
224	genotype-9	genotype-7	-2.0
225	genotype-4	genotype-7	1.01
226	genotype-10	genotype-7	1.01
227	genotype-14	genotype-7	2.01
228	genotype-25	genotype-7	2.01
229	genotype-6	genotype-7	2.01
230	genotype-19	genotype-7	2.01
231	genotype-7	genotype-12	-3.0
232	genotype-8	genotype-12	-3.0
233	genotype-23	genotype-12	-3.0
234	genotype-17	genotype-12	-3.0
235	genotype-27	genotype-12	-3.0
236	genotype-22	genotype-12	-3.0
237	genotype-29	genotype-12	-3.0
238	genotype-15	genotype-12	-3.0
239	genotype-24	genotype-12	-3.0
240	genotype-30	genotype-12	-3.0
241	genotype-16	genotype-12	-3.0
242	genotype-3	genotype-12	-3.0
243	genotype-5	genotype-12	-3.0
244	genotype-28	genotype-12	-2.0
245	genotype-20	genotype-12	-3.0
246	genotype-9	genotype-12	-3.0
247	genotype-4	genotype-12	-2.0
248	genotype-10	genotype-12	-2.0
