	candidate	identity	score
0	genotype-0	genotype-13	1
1	genotype-13	genotype-4	4
2	genotype-4	genotype-9	6
3	genotype-13	genotype-9	5
4	genotype-9	genotype-2	6
5	genotype-4	genotype-2	6
6	genotype-13	genotype-2	4
7	genotype-2	genotype-7	0
8	genotype-9	genotype-7	0
9	genotype-4	genotype-7	0
10	genotype-13	genotype-7	0
11	genotype-7	genotype-14	-3
12	genotype-2	genotype-14	-1
13	genotype-9	genotype-14	3
14	genotype-4	genotype-14	3
15	genotype-13	genotype-14	3
16	genotype-14	genotype-15	-3
17	genotype-7	genotype-15	-3
18	genotype-2	genotype-15	1
19	genotype-9	genotype-15	3
20	genotype-4	genotype-15	3
21	genotype-13	genotype-15	3
22	genotype-15	genotype-3	1
23	genotype-14	genotype-3	-2
24	genotype-7	genotype-3	-3
25	genotype-2	genotype-3	1
26	genotype-9	genotype-3	3
27	genotype-4	genotype-3	3
28	genotype-13	genotype-3	3
29	genotype-3	genotype-1	-3
30	genotype-15	genotype-1	0
31	genotype-14	genotype-1	0
32	genotype-7	genotype-1	-3
33	genotype-2	genotype-1	1
34	genotype-9	genotype-1	3
35	genotype-4	genotype-1	3
36	genotype-13	genotype-1	3
37	genotype-1	genotype-10	-2
38	genotype-3	genotype-10	-2
39	genotype-15	genotype-10	-2
40	genotype-14	genotype-10	-2
41	genotype-7	genotype-10	-2
42	genotype-2	genotype-10	0
43	genotype-9	genotype-10	0
44	genotype-4	genotype-10	3
45	genotype-13	genotype-10	1
46	genotype-10	genotype-11	-3
47	genotype-1	genotype-11	-3
48	genotype-3	genotype-11	-3
49	genotype-15	genotype-11	0
50	genotype-14	genotype-11	-2
51	genotype-7	genotype-11	-2
52	genotype-2	genotype-11	1
53	genotype-9	genotype-11	3
54	genotype-4	genotype-11	3
55	genotype-13	genotype-11	3
56	genotype-11	genotype-6	-3
57	genotype-10	genotype-6	-3
58	genotype-1	genotype-6	-2
59	genotype-3	genotype-6	-3
60	genotype-15	genotype-6	1
61	genotype-14	genotype-6	-2
62	genotype-7	genotype-6	-2
63	genotype-2	genotype-6	1
64	genotype-9	genotype-6	3
65	genotype-4	genotype-6	3
66	genotype-13	genotype-6	3
67	genotype-6	genotype-5	-1
68	genotype-11	genotype-5	-2
69	genotype-10	genotype-5	-3
70	genotype-1	genotype-5	-2
71	genotype-3	genotype-5	0
72	genotype-15	genotype-5	1
73	genotype-14	genotype-5	0
74	genotype-7	genotype-5	-2
75	genotype-2	genotype-5	1
76	genotype-9	genotype-5	2
77	genotype-4	genotype-5	2
78	genotype-13	genotype-5	2
79	genotype-5	genotype-8	-3
80	genotype-6	genotype-8	-3
81	genotype-11	genotype-8	-3
82	genotype-10	genotype-8	-3
83	genotype-1	genotype-8	-3
84	genotype-3	genotype-8	-3
85	genotype-15	genotype-8	-2
86	genotype-14	genotype-8	-3
87	genotype-7	genotype-8	-3
88	genotype-2	genotype-8	-2
89	genotype-9	genotype-8	-2
90	genotype-4	genotype-8	0
91	genotype-13	genotype-8	0
92	genotype-8	genotype-12	1
93	genotype-5	genotype-12	-3
94	genotype-6	genotype-12	-3
95	genotype-11	genotype-12	-2
96	genotype-10	genotype-12	-3
97	genotype-1	genotype-12	-2
98	genotype-3	genotype-12	-2
99	genotype-15	genotype-12	-2
100	genotype-14	genotype-12	-2
101	genotype-7	genotype-12	-2
102	genotype-2	genotype-12	0
103	genotype-9	genotype-12	0
104	genotype-4	genotype-12	0
105	genotype-13	genotype-12	0
