"","Identity","Generation","Population","Frequency","Group_id","Unique_id"
"1","genotype-0",0,50,0.5,"genotype-0","genotype-0_0"
"6","genotype-5",0,0,0,"genotype-5","genotype-5_0"
"16","genotype-5",0,0,0,"genotype-5a","genotype-5a_0"
"2","genotype-1",0,0,0,"genotype-1","genotype-1_0"
"5","genotype-4",0,0,0,"genotype-4","genotype-4_0"
"15","genotype-4",0,0,0,"genotype-4a","genotype-4a_0"
"3","genotype-2",0,0,0,"genotype-2","genotype-2_0"
"13","genotype-2",0,0,0,"genotype-2a","genotype-2a_0"
"7","genotype-6",0,0,0,"genotype-6","genotype-6_0"
"10","genotype-9",0,0,0,"genotype-9","genotype-9_0"
"20","genotype-9",0,0,0,"genotype-9a","genotype-9a_0"
"9","genotype-8",0,0,0,"genotype-8","genotype-8_0"
"8","genotype-7",0,0,0,"genotype-7","genotype-7_0"
"18","genotype-7",0,0,0,"genotype-7a","genotype-7a_0"
"19","genotype-8",0,0,0,"genotype-8a","genotype-8a_0"
"17","genotype-6",0,0,0,"genotype-6a","genotype-6a_0"
"12","genotype-1",0,0,0,"genotype-1a","genotype-1a_0"
"4","genotype-3",0,0,0,"genotype-3","genotype-3_0"
"14","genotype-3",0,0,0,"genotype-3a","genotype-3a_0"
"11","genotype-0",0,50,0.5,"genotype-0a","genotype-0a_0"
"21","genotype-0",8.5,25,0.5,"genotype-0","genotype-0_8.5"
"26","genotype-5",8.5,0,0,"genotype-5","genotype-5_8.5"
"36","genotype-5",8.5,0,0,"genotype-5a","genotype-5a_8.5"
"22","genotype-1",8.5,0,0,"genotype-1","genotype-1_8.5"
"25","genotype-4",8.5,0,0,"genotype-4","genotype-4_8.5"
"35","genotype-4",8.5,0,0,"genotype-4a","genotype-4a_8.5"
"23","genotype-2",8.5,0,0,"genotype-2","genotype-2_8.5"
"33","genotype-2",8.5,0,0,"genotype-2a","genotype-2a_8.5"
"27","genotype-6",8.5,0,0,"genotype-6","genotype-6_8.5"
"30","genotype-9",8.5,0,0,"genotype-9","genotype-9_8.5"
"40","genotype-9",8.5,0,0,"genotype-9a","genotype-9a_8.5"
"29","genotype-8",8.5,0,0,"genotype-8","genotype-8_8.5"
"28","genotype-7",8.5,0,0,"genotype-7","genotype-7_8.5"
"38","genotype-7",8.5,0,0,"genotype-7a","genotype-7a_8.5"
"39","genotype-8",8.5,0,0,"genotype-8a","genotype-8a_8.5"
"37","genotype-6",8.5,0,0,"genotype-6a","genotype-6a_8.5"
"32","genotype-1",8.5,0,0,"genotype-1a","genotype-1a_8.5"
"24","genotype-3",8.5,0,0,"genotype-3","genotype-3_8.5"
"34","genotype-3",8.5,0,0,"genotype-3a","genotype-3a_8.5"
"31","genotype-0",8.5,25,0.5,"genotype-0a","genotype-0a_8.5"
"42","genotype-0",17,0,0,"genotype-0","genotype-0_17"
"46","genotype-5",17,0,0,"genotype-5","genotype-5_17"
"56","genotype-5",17,0,0,"genotype-5a","genotype-5a_17"
"43","genotype-1",17,0,0,"genotype-1","genotype-1_17"
"45","genotype-4",17,0,0,"genotype-4","genotype-4_17"
"55","genotype-4",17,0,0,"genotype-4a","genotype-4a_17"
"44","genotype-2",17,0,0,"genotype-2","genotype-2_17"
"54","genotype-2",17,0,0,"genotype-2a","genotype-2a_17"
"47","genotype-6",17,0,0,"genotype-6","genotype-6_17"
"50","genotype-9",17,0,0,"genotype-9","genotype-9_17"
"60","genotype-9",17,0,0,"genotype-9a","genotype-9a_17"
"49","genotype-8",17,0,0,"genotype-8","genotype-8_17"
"48","genotype-7",17,0,0,"genotype-7","genotype-7_17"
"58","genotype-7",17,0,0,"genotype-7a","genotype-7a_17"
"59","genotype-8",17,0,0,"genotype-8a","genotype-8a_17"
"57","genotype-6",17,0,0,"genotype-6a","genotype-6a_17"
"53","genotype-1",17,0,0,"genotype-1a","genotype-1a_17"
"41","genotype-3",17,19,0.5,"genotype-3","genotype-3_17"
"51","genotype-3",17,19,0.5,"genotype-3a","genotype-3a_17"
"52","genotype-0",17,0,0,"genotype-0a","genotype-0a_17"
"62","genotype-0",21,0,0,"genotype-0","genotype-0_21"
"66","genotype-5",21,0,0,"genotype-5","genotype-5_21"
"76","genotype-5",21,0,0,"genotype-5a","genotype-5a_21"
"63","genotype-1",21,0,0,"genotype-1","genotype-1_21"
"65","genotype-4",21,0,0,"genotype-4","genotype-4_21"
"75","genotype-4",21,0,0,"genotype-4a","genotype-4a_21"
"64","genotype-2",21,0,0,"genotype-2","genotype-2_21"
"74","genotype-2",21,0,0,"genotype-2a","genotype-2a_21"
"67","genotype-6",21,0,0,"genotype-6","genotype-6_21"
"70","genotype-9",21,0,0,"genotype-9","genotype-9_21"
"80","genotype-9",21,0,0,"genotype-9a","genotype-9a_21"
"69","genotype-8",21,0,0,"genotype-8","genotype-8_21"
"68","genotype-7",21,0,0,"genotype-7","genotype-7_21"
"78","genotype-7",21,0,0,"genotype-7a","genotype-7a_21"
"79","genotype-8",21,0,0,"genotype-8a","genotype-8a_21"
"77","genotype-6",21,0,0,"genotype-6a","genotype-6a_21"
"73","genotype-1",21,0,0,"genotype-1a","genotype-1a_21"
"61","genotype-3",21,20.3,0.5,"genotype-3","genotype-3_21"
"71","genotype-3",21,20.3,0.5,"genotype-3a","genotype-3a_21"
"72","genotype-0",21,0,0,"genotype-0a","genotype-0a_21"
"84","genotype-0",25,0,0,"genotype-0","genotype-0_25"
"83","genotype-5",25,5.85,0.0722222222222222,"genotype-5","genotype-5_25"
"93","genotype-5",25,5.85,0.0722222222222222,"genotype-5a","genotype-5a_25"
"82","genotype-1",25,13.05,0.161111111111111,"genotype-1","genotype-1_25"
"86","genotype-4",25,0,0,"genotype-4","genotype-4_25"
"96","genotype-4",25,0,0,"genotype-4a","genotype-4a_25"
"85","genotype-2",25,0,0,"genotype-2","genotype-2_25"
"95","genotype-2",25,0,0,"genotype-2a","genotype-2a_25"
"87","genotype-6",25,0,0,"genotype-6","genotype-6_25"
"90","genotype-9",25,0,0,"genotype-9","genotype-9_25"
"100","genotype-9",25,0,0,"genotype-9a","genotype-9a_25"
"89","genotype-8",25,0,0,"genotype-8","genotype-8_25"
"88","genotype-7",25,0,0,"genotype-7","genotype-7_25"
"98","genotype-7",25,0,0,"genotype-7a","genotype-7a_25"
"99","genotype-8",25,0,0,"genotype-8a","genotype-8a_25"
"97","genotype-6",25,0,0,"genotype-6a","genotype-6a_25"
"92","genotype-1",25,13.05,0.161111111111111,"genotype-1a","genotype-1a_25"
"81","genotype-3",25,21.6,0.266666666666667,"genotype-3","genotype-3_25"
"91","genotype-3",25,21.6,0.266666666666667,"genotype-3a","genotype-3a_25"
"94","genotype-0",25,0,0,"genotype-0a","genotype-0a_25"
"104","genotype-0",34.5,0,0,"genotype-0","genotype-0_34.5"
"103","genotype-5",34.5,2.925,0.0323204419889503,"genotype-5","genotype-5_34.5"
"113","genotype-5",34.5,2.925,0.0323204419889503,"genotype-5a","genotype-5a_34.5"
"101","genotype-1",34.5,31.525,0.348342541436464,"genotype-1","genotype-1_34.5"
"106","genotype-4",34.5,0,0,"genotype-4","genotype-4_34.5"
"116","genotype-4",34.5,0,0,"genotype-4a","genotype-4a_34.5"
"105","genotype-2",34.5,0,0,"genotype-2","genotype-2_34.5"
"115","genotype-2",34.5,0,0,"genotype-2a","genotype-2a_34.5"
"107","genotype-6",34.5,0,0,"genotype-6","genotype-6_34.5"
