Generation	Identity	Population
0	genotype-19	0.0
1	genotype-19	0.0
2	genotype-19	1.0
3	genotype-19	38.5
5	genotype-19	1.0
6	genotype-19	1.0
7	genotype-19	1.0
8	genotype-19	1.0
9	genotype-19	1.0
10	genotype-19	1.0
0	genotype-6	0.0
1	genotype-6	10.799999999999999
2	genotype-6	4.400000000000004
3	genotype-6	5.600000000000005
5	genotype-6	1.0
6	genotype-6	1.0
7	genotype-6	1.0
8	genotype-6	1.0
9	genotype-6	1.0
10	genotype-6	1.0
0	genotype-25	2.1
1	genotype-25	0.14
2	genotype-25	24.2
3	genotype-25	55.89999999999999
5	genotype-25	95.4
6	genotype-25	100.0
7	genotype-25	100.0
8	genotype-25	100.0
9	genotype-25	100.0
10	genotype-25	100.0
0	genotype-14	0.0
1	genotype-14	0.0
2	genotype-14	16.1
3	genotype-14	7.300000000000001
5	genotype-14	6.1000000000000165
6	genotype-14	33.400000000000006
7	genotype-14	6.999999999999995
8	genotype-14	26.5
9	genotype-14	25.5
10	genotype-14	33.5
0	genotype-10	0.0
1	genotype-10	0.0
2	genotype-10	0.0
3	genotype-10	45.6
5	genotype-10	88.6
6	genotype-10	63.4
7	genotype-10	93.0
8	genotype-10	73.5
9	genotype-10	74.5
10	genotype-10	63.6
0	genotype-4	0.0
1	genotype-4	0.0
2	genotype-4	0.0
3	genotype-4	47.7
5	genotype-4	85.1
6	genotype-4	66.6
7	genotype-4	89.4
8	genotype-4	70.9
9	genotype-4	70.4
10	genotype-4	66.5
0	genotype-9	0.0
1	genotype-9	0.0
2	genotype-9	47.0
3	genotype-9	5.7
5	genotype-9	4.4
6	genotype-9	0.0
7	genotype-9	0.0
8	genotype-9	0.0
9	genotype-9	0.0
10	genotype-9	0.0
0	genotype-20	0.0
1	genotype-20	0.0
2	genotype-20	0.0
3	genotype-20	0.0
5	genotype-20	1.0
6	genotype-20	32.5
7	genotype-20	7.7
8	genotype-20	25.2
9	genotype-20	26.1
10	genotype-20	0.0
0	genotype-28	0.0
1	genotype-28	0.0
2	genotype-28	0.0
3	genotype-28	0.0
5	genotype-28	0.0
6	genotype-28	24.0
7	genotype-28	6.7
8	genotype-28	22.0
9	genotype-28	22.1
10	genotype-28	33.0
0	genotype-5	0.0
1	genotype-5	0.0
2	genotype-5	0.0
3	genotype-5	0.0
5	genotype-5	0.0
6	genotype-5	0.0
7	genotype-5	0.0
8	genotype-5	4.8
9	genotype-5	14.400000000000002
10	genotype-5	34.3
0	genotype-3	0.0
1	genotype-3	0.0
2	genotype-3	0.0
3	genotype-3	0.0
5	genotype-3	0.0
6	genotype-3	26.3
7	genotype-3	7.000000000000001
8	genotype-3	8.1
9	genotype-3	6.9
10	genotype-3	4.2
0	genotype-16	0.0
1	genotype-16	0.0
2	genotype-16	0.0
3	genotype-16	0.0
5	genotype-16	0.0
