left	right	distance	observations	clusterId
0	10	0.03698330063230243	2	32
24	30	0.05162192588589409	2	33
26	31	0.06198089006335633	2	34
33	15	0.07255096354375337	3	35
14	25	0.09198224923369529	2	36
1	32	0.1075772113013391	3	37
35	29	0.10975103776956294	4	38
11	6	0.12434551118447938	2	39
22	17	0.13315336912709275	2	40
9	3	0.1365166226138415	2	41
4	16	0.15244943921174672	2	42
37	34	0.2034769288681961	5	43
27	40	0.2720858095312342	3	44
7	23	0.27584932870248935	2	45
21	39	0.2867527927323814	3	46
43	18	0.334032219870302	6	47
36	5	0.3432459832153451	3	48
28	20	0.4003620323927815	2	49
44	46	0.4286010293637936	6	50
38	13	0.5191169857309929	5	51
50	45	0.5236370459666351	8	52
49	2	0.5284762954304206	3	53
51	47	0.5990596226009424	11	54
19	48	0.7133921251074207	4	55
52	42	0.7700341919692832	10	56
8	54	0.8969202700621712	12	57
53	56	0.9697378839783882	13	58
57	12	1.0809890902588883	13	59
58	59	1.4985208133361176	26	60
55	41	1.568148757126524	6	61
60	61	3.6042989815086783	32	62
