"","Generation","Identity","Population","Frequency","Group_id","Unique_id"
"1",0,"genotype-0",21.4,0.214,"genotype-0","genotype-0_0"
"32",0,"genotype-9",0,0,"genotype-9","genotype-9_0"
"64",0,"genotype-9",0,0,"genotype-9a","genotype-9a_0"
"15",0,"genotype-19",0,0,"genotype-19","genotype-19_0"
"24",0,"genotype-29",0,0,"genotype-29","genotype-29_0"
"56",0,"genotype-29",0,0,"genotype-29a","genotype-29a_0"
"29",0,"genotype-6",0,0,"genotype-6","genotype-6_0"
"11",0,"genotype-14",0,0,"genotype-14","genotype-14_0"
"13",0,"genotype-16",0,0,"genotype-16","genotype-16_0"
"45",0,"genotype-16",0,0,"genotype-16a","genotype-16a_0"
"31",0,"genotype-8",0,0,"genotype-8","genotype-8_0"
"63",0,"genotype-8",0,0,"genotype-8a","genotype-8a_0"
"30",0,"genotype-7",0,0,"genotype-7","genotype-7_0"
"62",0,"genotype-7",0,0,"genotype-7a","genotype-7a_0"
"28",0,"genotype-5",0,0,"genotype-5","genotype-5_0"
"60",0,"genotype-5",0,0,"genotype-5a","genotype-5a_0"
"20",0,"genotype-23",0,0,"genotype-23","genotype-23_0"
"52",0,"genotype-23",0,0,"genotype-23a","genotype-23a_0"
"9",0,"genotype-11",0,0,"genotype-11","genotype-11_0"
"41",0,"genotype-11",0,0,"genotype-11a","genotype-11a_0"
"22",0,"genotype-27",0,0,"genotype-27","genotype-27_0"
"54",0,"genotype-27",0,0,"genotype-27a","genotype-27a_0"
"18",0,"genotype-21",0,0,"genotype-21","genotype-21_0"
"50",0,"genotype-21",0,0,"genotype-21a","genotype-21a_0"
"25",0,"genotype-3",0,0,"genotype-3","genotype-3_0"
"57",0,"genotype-3",0,0,"genotype-3a","genotype-3a_0"
"23",0,"genotype-28",0,0,"genotype-28","genotype-28_0"
"55",0,"genotype-28",0,0,"genotype-28a","genotype-28a_0"
"19",0,"genotype-22",0,0,"genotype-22","genotype-22_0"
"51",0,"genotype-22",0,0,"genotype-22a","genotype-22a_0"
"14",0,"genotype-17",0,0,"genotype-17","genotype-17_0"
"46",0,"genotype-17",0,0,"genotype-17a","genotype-17a_0"
"17",0,"genotype-20",0,0,"genotype-20","genotype-20_0"
"49",0,"genotype-20",0,0,"genotype-20a","genotype-20a_0"
"27",0,"genotype-4",0,0,"genotype-4","genotype-4_0"
"59",0,"genotype-4",0,0,"genotype-4a","genotype-4a_0"
"8",0,"genotype-10",0,0,"genotype-10","genotype-10_0"
