Generation	Identity	Population
0	genotype-13	0.0
1	genotype-13	0.0
2	genotype-13	1.0
3	genotype-13	38.5
5	genotype-13	1.0
6	genotype-13	1.0
7	genotype-13	1.0
8	genotype-13	1.0
9	genotype-13	1.0
10	genotype-13	1.0
0	genotype-4	0.0
1	genotype-4	11.099999999999998
2	genotype-4	8.000000000000002
3	genotype-4	6.05
5	genotype-4	1.0
6	genotype-4	1.0
7	genotype-4	1.0
8	genotype-4	1.0
9	genotype-4	1.0
10	genotype-4	1.0
0	genotype-9	0.0
1	genotype-9	0.0
2	genotype-9	20.6
3	genotype-9	8.799999999999997
5	genotype-9	8.199999999999996
6	genotype-9	35.00000000000001
7	genotype-9	8.799999999999997
8	genotype-9	27.800000000000004
9	genotype-9	27.549999999999997
10	genotype-9	34.94999999999999
0	genotype-2	0.0
1	genotype-2	0.0
2	genotype-2	0.0
3	genotype-2	46.650000000000006
5	genotype-2	86.85
6	genotype-2	64.99999999999999
7	genotype-2	91.2
8	genotype-2	72.2
9	genotype-2	72.45
10	genotype-2	65.05000000000001
0	genotype-7	0.0
1	genotype-7	0.0
2	genotype-7	47.0
3	genotype-7	5.7
5	genotype-7	4.3999999999999995
6	genotype-7	0.0
7	genotype-7	0.0
8	genotype-7	0.0
9	genotype-7	0.0
10	genotype-7	0.0
0	genotype-14	0.0
1	genotype-14	0.0
2	genotype-14	0.0
3	genotype-14	0.0
5	genotype-14	1.0
6	genotype-14	32.5
7	genotype-14	7.7
8	genotype-14	25.2
9	genotype-14	26.1
10	genotype-14	0.0
0	genotype-15	0.0
1	genotype-15	0.0
2	genotype-15	0.0
3	genotype-15	0.0
5	genotype-15	0.0
6	genotype-15	24.0
7	genotype-15	6.7
8	genotype-15	22.0
9	genotype-15	22.1
10	genotype-15	33.0
0	genotype-3	0.0
1	genotype-3	0.0
2	genotype-3	0.0
3	genotype-3	0.0
5	genotype-3	0.0
6	genotype-3	0.0
7	genotype-3	0.0
8	genotype-3	2.4
9	genotype-3	16.05
10	genotype-3	31.75
0	genotype-1	0.0
1	genotype-1	0.0
2	genotype-1	0.0
3	genotype-1	0.0
5	genotype-1	0.0
6	genotype-1	26.3
7	genotype-1	7.000000000000001
8	genotype-1	8.1
9	genotype-1	6.9
10	genotype-1	4.2
0	genotype-10	0.0
1	genotype-10	3.900000000000001
2	genotype-10	2.533333333333333
3	genotype-10	16.43333333333333
5	genotype-10	0.0
6	genotype-10	0.0
7	genotype-10	0.0
8	genotype-10	0.0
9	genotype-10	0.0
10	genotype-10	0.0
0	genotype-11	0.0
1	genotype-11	0.0
2	genotype-11	0.0
3	genotype-11	0.0
5	genotype-11	0.0
6	genotype-11	3.1333333333333333
7	genotype-11	11.333333333333332
8	genotype-11	12.1
9	genotype-11	8.4
10	genotype-11	4.133333333333333
0	genotype-6	0.0
1	genotype-6	0.0
2	genotype-6	0.0
3	genotype-6	0.0
5	genotype-6	0.0
6	genotype-6	0.0
7	genotype-6	0.0
8	genotype-6	16.9
9	genotype-6	9.950000000000001
10	genotype-6	9.75
0	genotype-5	0.0
1	genotype-5	0.0
2	genotype-5	0.0
3	genotype-5	0.0
5	genotype-5	0.0
6	genotype-5	0.0
7	genotype-5	0.0
8	genotype-5	4.9
9	genotype-5	12.2
10	genotype-5	6.6000000000000005
0	genotype-8	32.30000000000001
1	genotype-8	15.4
2	genotype-8	3.3000000000000003
3	genotype-8	11.3
5	genotype-8	0.0
6	genotype-8	0.0
7	genotype-8	0.0
8	genotype-8	0.0
9	genotype-8	0.0
10	genotype-8	0.0
0	genotype-12	10.4
1	genotype-12	8.7
2	genotype-12	4.8
3	genotype-12	0.0
5	genotype-12	0.0
6	genotype-12	0.0
7	genotype-12	0.0
8	genotype-12	0.0
9	genotype-12	0.0
10	genotype-12	0.0
0	genotype-0	57.29999999999999
1	genotype-0	60.900000000000006
2	genotype-0	12.76666666666668
3	genotype-0	0.0
5	genotype-0	0.0
6	genotype-0	0.0
7	genotype-0	0.0
8	genotype-0	0.0
9	genotype-0	0.0
10	genotype-0	0.0
