"","Generation","Identity","Population","Frequency","Group_id","Unique_id"
"1",0,"genotype-0",28.65,0.2865,"genotype-0","genotype-0_0"
"15",0,"genotype-7",0,0,"genotype-7","genotype-7_0"
"31",0,"genotype-7",0,0,"genotype-7a","genotype-7a_0"
"7",0,"genotype-13",0,0,"genotype-13","genotype-13_0"
"12",0,"genotype-4",0,0,"genotype-4","genotype-4_0"
"16",0,"genotype-9",0,0,"genotype-9","genotype-9_0"
"14",0,"genotype-6",0,0,"genotype-6","genotype-6_0"
"30",0,"genotype-6",0,0,"genotype-6a","genotype-6a_0"
"13",0,"genotype-5",0,0,"genotype-5","genotype-5_0"
"29",0,"genotype-5",0,0,"genotype-5a","genotype-5a_0"
"11",0,"genotype-3",0,0,"genotype-3","genotype-3_0"
"27",0,"genotype-3",0,0,"genotype-3a","genotype-3a_0"
"9",0,"genotype-15",0,0,"genotype-15","genotype-15_0"
"25",0,"genotype-15",0,0,"genotype-15a","genotype-15a_0"
"6",0,"genotype-11",0,0,"genotype-11","genotype-11_0"
"22",0,"genotype-11",0,0,"genotype-11a","genotype-11a_0"
"4",0,"genotype-1",0,0,"genotype-1","genotype-1_0"
"20",0,"genotype-1",0,0,"genotype-1a","genotype-1a_0"
"8",0,"genotype-14",0,0,"genotype-14","genotype-14_0"
"24",0,"genotype-14",0,0,"genotype-14a","genotype-14a_0"
"10",0,"genotype-2",0,0,"genotype-2","genotype-2_0"
"26",0,"genotype-2",0,0,"genotype-2a","genotype-2a_0"
"32",0,"genotype-9",0,0,"genotype-9a","genotype-9a_0"
"5",0,"genotype-10",0,0,"genotype-10","genotype-10_0"
"21",0,"genotype-10",0,0,"genotype-10a","genotype-10a_0"
"28",0,"genotype-4",0,0,"genotype-4a","genotype-4a_0"
"23",0,"genotype-13",0,0,"genotype-13a","genotype-13a_0"
"2",0,"genotype-8",16.15,0.1615,"genotype-8","genotype-8_0"
"3",0,"genotype-12",5.2,0.052,"genotype-12","genotype-12_0"
"19",0,"genotype-12",5.2,0.052,"genotype-12a","genotype-12a_0"
"18",0,"genotype-8",16.15,0.1615,"genotype-8a","genotype-8a_0"
"17",0,"genotype-0",28.65,0.2865,"genotype-0a","genotype-0a_0"
"33",0.5,"genotype-0",29.55,0.319459459459459,"genotype-0","genotype-0_0.5"
"47",0.5,"genotype-7",0,0,"genotype-7","genotype-7_0.5"
"63",0.5,"genotype-7",0,0,"genotype-7a","genotype-7a_0.5"
"39",0.5,"genotype-13",0,0,"genotype-13","genotype-13_0.5"
"44",0.5,"genotype-4",0,0,"genotype-4","genotype-4_0.5"
"48",0.5,"genotype-9",0,0,"genotype-9","genotype-9_0.5"
"46",0.5,"genotype-6",0,0,"genotype-6","genotype-6_0.5"
"62",0.5,"genotype-6",0,0,"genotype-6a","genotype-6a_0.5"
"45",0.5,"genotype-5",0,0,"genotype-5","genotype-5_0.5"
"61",0.5,"genotype-5",0,0,"genotype-5a","genotype-5a_0.5"
"43",0.5,"genotype-3",0,0,"genotype-3","genotype-3_0.5"
"59",0.5,"genotype-3",0,0,"genotype-3a","genotype-3a_0.5"
"41",0.5,"genotype-15",0,0,"genotype-15","genotype-15_0.5"
"57",0.5,"genotype-15",0,0,"genotype-15a","genotype-15a_0.5"
"38",0.5,"genotype-11",0,0,"genotype-11","genotype-11_0.5"
"54",0.5,"genotype-11",0,0,"genotype-11a","genotype-11a_0.5"
"36",0.5,"genotype-1",0,0,"genotype-1","genotype-1_0.5"
"52",0.5,"genotype-1",0,0,"genotype-1a","genotype-1a_0.5"
"40",0.5,"genotype-14",0,0,"genotype-14","genotype-14_0.5"
"56",0.5,"genotype-14",0,0,"genotype-14a","genotype-14a_0.5"
"42",0.5,"genotype-2",0,0,"genotype-2","genotype-2_0.5"
"58",0.5,"genotype-2",0,0,"genotype-2a","genotype-2a_0.5"
"64",0.5,"genotype-9",0,0,"genotype-9a","genotype-9a_0.5"
"37",0.5,"genotype-10",0,0,"genotype-10","genotype-10_0.5"
"53",0.5,"genotype-10",0,0,"genotype-10a","genotype-10a_0.5"
"60",0.5,"genotype-4",0,0,"genotype-4a","genotype-4a_0.5"
"55",0.5,"genotype-13",0,0,"genotype-13a","genotype-13a_0.5"
