	left	right	distance	observations	clusterId
0	2	1	0.03076482379152546	2	18
1	5	9	0.04973741474326882	2	19
2	3	18	0.0619897558356365	3	20
3	6	8	0.06540726727631455	2	21
4	0	10	0.12020846598096009	2	22
5	20	17	0.13398688707037842	4	23
6	12	13	0.1550858481739291	2	24
7	21	7	0.20457395629539712	3	25
8	15	14	0.25511422905249936	2	26
9	4	16	0.2977456670877069	2	27
10	11	24	0.5259450798904316	3	28
11	25	27	0.5898217205573411	5	29
12	22	19	0.6764863349498776	4	30
13	26	28	0.8565087686291427	5	31
14	29	23	1.090799115278878	9	32
15	30	32	1.604159420698812	13	33
16	31	33	4.307956909066134	18	34
