	Generation	Identity	Population
0	0	genotype-6	0.0
1	30	genotype-6	7.018181999999998
2	45	genotype-6	8.750000000000002
3	60	genotype-6	4.200000000000004
4	90	genotype-6	1.0
5	0	genotype-8	0.0
6	30	genotype-8	0.0
7	45	genotype-8	20.75
8	60	genotype-8	86.8
9	90	genotype-8	69.45
10	0	genotype-7	0.0
11	30	genotype-7	9.681818
12	45	genotype-7	46.25
13	60	genotype-7	68.0
14	90	genotype-7	85.39999999999999
15	0	genotype-1	0.0
16	30	genotype-1	32.95
17	45	genotype-1	4.125000000000001
18	60	genotype-1	6.5
19	90	genotype-1	1.0
20	0	genotype-4	0.0
21	30	genotype-4	0.5
22	45	genotype-4	24.0
23	60	genotype-4	3.0
24	90	genotype-4	3.75
25	0	genotype-2	0.0
26	30	genotype-2	0.0
27	45	genotype-2	0.0
28	60	genotype-2	0.0
29	90	genotype-2	26.3
30	0	genotype-5	0.0
31	30	genotype-5	11.366666666666667
32	45	genotype-5	0.0
33	60	genotype-5	0.0
34	90	genotype-5	0.33333333333333337
35	0	genotype-9	0.0
36	30	genotype-9	0.0
37	45	genotype-9	0.0
38	60	genotype-9	0.0
39	90	genotype-9	11.0
40	0	genotype-3	0.0
41	30	genotype-3	0.0
42	45	genotype-3	0.0
43	60	genotype-3	0.0
44	90	genotype-3	1.0
45	0	genotype-0	100.0
46	30	genotype-0	38.483333333333334
47	45	genotype-0	0.0
48	60	genotype-0	0.0
49	90	genotype-0	0.0
