	nestedGenotype	scoreArea	scoreDerivative	scoreFixed	scoreGreater	totalScore	unnestedGenotype
0	genotype-6	2	2	1	1.0	6.0	genotype-8
1	genotype-8	0	2	1	0.0	3.0	genotype-7
2	genotype-6	2	2	1	1.0	6.0	genotype-7
3	genotype-7	0	0	0	0.0	0.0	genotype-1
4	genotype-8	0	0	0	0.0	0.0	genotype-1
5	genotype-6	0	0	0	0.0	0.0	genotype-1
6	genotype-1	0	2	0	1.0	3.0	genotype-4
7	genotype-7	0	-2	0	1.0	-1.0	genotype-4
8	genotype-8	0	-2	0	1.0	-1.0	genotype-4
9	genotype-6	0	0	0	1.0	1.0	genotype-4
10	genotype-4	-2	0	0	0.0	-2.0	genotype-2
11	genotype-1	0	0	0	0.0	0.0	genotype-2
12	genotype-7	0	0	0	1.0	1.0	genotype-2
13	genotype-8	2	0	0	1.0	3.0	genotype-2
14	genotype-6	2	0	0	1.0	3.0	genotype-2
15	genotype-2	-2	0	0	-1.0	-3.0	genotype-5
16	genotype-4	0	0	0	-1.0	-1.0	genotype-5
17	genotype-1	0	0	0	1.0	1.0	genotype-5
18	genotype-7	0	0	0	1.0	1.0	genotype-5
19	genotype-8	0	0	0	-1.0	-1.0	genotype-5
20	genotype-6	0	0	0	1.0	1.0	genotype-5
21	genotype-5	-2	0	0	-1.0	-3.0	genotype-9
22	genotype-2	0	0	0	1.0	1.0	genotype-9
23	genotype-4	0	0	0	1.0	1.0	genotype-9
24	genotype-1	0	0	0	1.0	1.0	genotype-9
25	genotype-7	0	0	0	1.0	1.0	genotype-9
26	genotype-8	0	0	0	1.0	1.0	genotype-9
27	genotype-6	2	0	0	1.0	3.0	genotype-9
28	genotype-9	0	0	0	-1.0	-1.0	genotype-3
29	genotype-5	0	0	0	-1.0	-1.0	genotype-3
30	genotype-2	0	0	0	-1.0	-1.0	genotype-3
31	genotype-4	0	0	0	-1.0	-1.0	genotype-3
32	genotype-1	0	0	0	-1.0	-1.0	genotype-3
33	genotype-7	0	0	0	-1.0	-1.0	genotype-3
34	genotype-8	0	0	0	-1.0	-1.0	genotype-3
35	genotype-6	0	0	0	-1.0	-1.0	genotype-3
