	candidate	identity	score
0	genotype-0	genotype-red	1
1	genotype-red	genotype-green	4
2	genotype-green	genotype-aqua	4
3	genotype-red	genotype-aqua	4
4	genotype-aqua	genotype-sienna	4
5	genotype-green	genotype-sienna	4
6	genotype-red	genotype-sienna	4
7	genotype-sienna	genotype-orchid	-3
8	genotype-aqua	genotype-orchid	3
9	genotype-green	genotype-orchid	4
10	genotype-red	genotype-orchid	4
11	genotype-orchid	genotype-orange	-3
12	genotype-sienna	genotype-orange	-3
13	genotype-aqua	genotype-orange	-3
14	genotype-green	genotype-orange	-3
15	genotype-red	genotype-orange	6
