Generation	Identity	Population	Frequency	Group_id	Unique_id
0.0	genotype-0	50.0	0.5	genotype-0	genotype-0_0
0.0	genotype-red	0.0	0.0	genotype-red	genotype-red_0
0.0	genotype-green	0.0	0.0	genotype-green	genotype-green_0
0.0	genotype-aqua	0.0	0.0	genotype-aqua	genotype-aqua_0
0.0	genotype-sienna	0.0	0.0	genotype-sienna	genotype-sienna_0
0.0	genotype-sienna	0.0	0.0	genotype-siennaa	genotype-siennaa_0
0.0	genotype-orchid	0.0	0.0	genotype-orchid	genotype-orchid_0
0.0	genotype-orchid	0.0	0.0	genotype-orchida	genotype-orchida_0
0.0	genotype-aqua	0.0	0.0	genotype-aquaa	genotype-aquaa_0
0.0	genotype-green	0.0	0.0	genotype-greena	genotype-greena_0
0.0	genotype-orange	0.0	0.0	genotype-orange	genotype-orange_0
0.0	genotype-orange	0.0	0.0	genotype-orangea	genotype-orangea_0
0.0	genotype-red	0.0	0.0	genotype-reda	genotype-reda_0
0.0	genotype-0	50.0	0.5	genotype-0a	genotype-0a_0
1.0	genotype-0	50.0	0.5	genotype-0	genotype-0_1
1.0	genotype-red	0.0	0.0	genotype-red	genotype-red_1
1.0	genotype-green	0.0	0.0	genotype-green	genotype-green_1
1.0	genotype-aqua	0.0	0.0	genotype-aqua	genotype-aqua_1
1.0	genotype-sienna	0.0	0.0	genotype-sienna	genotype-sienna_1
1.0	genotype-sienna	0.0	0.0	genotype-siennaa	genotype-siennaa_1
1.0	genotype-orchid	0.0	0.0	genotype-orchid	genotype-orchid_1
1.0	genotype-orchid	0.0	0.0	genotype-orchida	genotype-orchida_1
1.0	genotype-aqua	0.0	0.0	genotype-aquaa	genotype-aquaa_1
1.0	genotype-green	0.0	0.0	genotype-greena	genotype-greena_1
1.0	genotype-orange	0.0	0.0	genotype-orange	genotype-orange_1
1.0	genotype-orange	0.0	0.0	genotype-orangea	genotype-orangea_1
1.0	genotype-red	0.0	0.0	genotype-reda	genotype-reda_1
1.0	genotype-0	50.0	0.5	genotype-0a	genotype-0a_1
2.0	genotype-0	50.0	0.5	genotype-0	genotype-0_2
2.0	genotype-red	0.0	0.0	genotype-red	genotype-red_2
2.0	genotype-green	0.0	0.0	genotype-green	genotype-green_2
2.0	genotype-aqua	0.0	0.0	genotype-aqua	genotype-aqua_2
2.0	genotype-sienna	0.0	0.0	genotype-sienna	genotype-sienna_2
2.0	genotype-sienna	0.0	0.0	genotype-siennaa	genotype-siennaa_2
2.0	genotype-orchid	0.0	0.0	genotype-orchid	genotype-orchid_2
2.0	genotype-orchid	0.0	0.0	genotype-orchida	genotype-orchida_2
2.0	genotype-aqua	0.0	0.0	genotype-aquaa	genotype-aquaa_2
2.0	genotype-green	0.0	0.0	genotype-greena	genotype-greena_2
2.0	genotype-orange	0.0	0.0	genotype-orange	genotype-orange_2
2.0	genotype-orange	0.0	0.0	genotype-orangea	genotype-orangea_2
2.0	genotype-red	0.0	0.0	genotype-reda	genotype-reda_2
2.0	genotype-0	50.0	0.5	genotype-0a	genotype-0a_2
3.0	genotype-0	50.0	0.5	genotype-0	genotype-0_3
3.0	genotype-red	0.0	0.0	genotype-red	genotype-red_3
3.0	genotype-green	0.0	0.0	genotype-green	genotype-green_3
3.0	genotype-aqua	0.0	0.0	genotype-aqua	genotype-aqua_3
3.0	genotype-sienna	0.0	0.0	genotype-sienna	genotype-sienna_3
3.0	genotype-sienna	0.0	0.0	genotype-siennaa	genotype-siennaa_3
3.0	genotype-orchid	0.0	0.0	genotype-orchid	genotype-orchid_3
3.0	genotype-orchid	0.0	0.0	genotype-orchida	genotype-orchida_3
3.0	genotype-aqua	0.0	0.0	genotype-aquaa	genotype-aquaa_3
3.0	genotype-green	0.0	0.0	genotype-greena	genotype-greena_3
3.0	genotype-orange	0.0	0.0	genotype-orange	genotype-orange_3
3.0	genotype-orange	0.0	0.0	genotype-orangea	genotype-orangea_3
3.0	genotype-red	0.0	0.0	genotype-reda	genotype-reda_3
3.0	genotype-0	50.0	0.5	genotype-0a	genotype-0a_3
4.0	genotype-0	50.0	0.5	genotype-0	genotype-0_4
4.0	genotype-red	0.0	0.0	genotype-red	genotype-red_4
4.0	genotype-green	0.0	0.0	genotype-green	genotype-green_4
4.0	genotype-aqua	0.0	0.0	genotype-aqua	genotype-aqua_4
4.0	genotype-sienna	0.0	0.0	genotype-sienna	genotype-sienna_4
4.0	genotype-sienna	0.0	0.0	genotype-siennaa	genotype-siennaa_4
4.0	genotype-orchid	0.0	0.0	genotype-orchid	genotype-orchid_4
4.0	genotype-orchid	0.0	0.0	genotype-orchida	genotype-orchida_4
4.0	genotype-aqua	0.0	0.0	genotype-aquaa	genotype-aquaa_4
4.0	genotype-green	0.0	0.0	genotype-greena	genotype-greena_4
4.0	genotype-orange	0.0	0.0	genotype-orange	genotype-orange_4
4.0	genotype-orange	0.0	0.0	genotype-orangea	genotype-orangea_4
4.0	genotype-red	0.0	0.0	genotype-reda	genotype-reda_4
4.0	genotype-0	50.0	0.5	genotype-0a	genotype-0a_4
5.0	genotype-0	50.0	0.5	genotype-0	genotype-0_5
5.0	genotype-red	0.0	0.0	genotype-red	genotype-red_5
5.0	genotype-green	0.0	0.0	genotype-green	genotype-green_5
5.0	genotype-aqua	0.0	0.0	genotype-aqua	genotype-aqua_5
5.0	genotype-sienna	0.0	0.0	genotype-sienna	genotype-sienna_5
5.0	genotype-sienna	0.0	0.0	genotype-siennaa	genotype-siennaa_5
5.0	genotype-orchid	0.0	0.0	genotype-orchid	genotype-orchid_5
5.0	genotype-orchid	0.0	0.0	genotype-orchida	genotype-orchida_5
5.0	genotype-aqua	0.0	0.0	genotype-aquaa	genotype-aquaa_5
5.0	genotype-green	0.0	0.0	genotype-greena	genotype-greena_5
5.0	genotype-orange	0.0	0.0	genotype-orange	genotype-orange_5
5.0	genotype-orange	0.0	0.0	genotype-orangea	genotype-orangea_5
5.0	genotype-red	0.0	0.0	genotype-reda	genotype-reda_5
5.0	genotype-0	50.0	0.5	genotype-0a	genotype-0a_5
6.0	genotype-0	50.0	0.5	genotype-0	genotype-0_6
6.0	genotype-red	0.0	0.0	genotype-red	genotype-red_6
6.0	genotype-green	0.0	0.0	genotype-green	genotype-green_6
6.0	genotype-aqua	0.0	0.0	genotype-aqua	genotype-aqua_6
6.0	genotype-sienna	0.0	0.0	genotype-sienna	genotype-sienna_6
6.0	genotype-sienna	0.0	0.0	genotype-siennaa	genotype-siennaa_6
6.0	genotype-orchid	0.0	0.0	genotype-orchid	genotype-orchid_6
6.0	genotype-orchid	0.0	0.0	genotype-orchida	genotype-orchida_6
6.0	genotype-aqua	0.0	0.0	genotype-aquaa	genotype-aquaa_6
6.0	genotype-green	0.0	0.0	genotype-greena	genotype-greena_6
6.0	genotype-orange	0.0	0.0	genotype-orange	genotype-orange_6
6.0	genotype-orange	0.0	0.0	genotype-orangea	genotype-orangea_6
6.0	genotype-red	0.0	0.0	genotype-reda	genotype-reda_6
6.0	genotype-0	50.0	0.5	genotype-0a	genotype-0a_6
7.0	genotype-0	50.0	0.5	genotype-0	genotype-0_7
7.0	genotype-red	0.0	0.0	genotype-red	genotype-red_7
7.0	genotype-green	0.0	0.0	genotype-green	genotype-green_7
7.0	genotype-aqua	0.0	0.0	genotype-aqua	genotype-aqua_7
7.0	genotype-sienna	0.0	0.0	genotype-sienna	genotype-sienna_7
7.0	genotype-sienna	0.0	0.0	genotype-siennaa	genotype-siennaa_7
7.0	genotype-orchid	0.0	0.0	genotype-orchid	genotype-orchid_7
7.0	genotype-orchid	0.0	0.0	genotype-orchida	genotype-orchida_7
7.0	genotype-aqua	0.0	0.0	genotype-aquaa	genotype-aquaa_7
7.0	genotype-green	0.0	0.0	genotype-greena	genotype-greena_7
7.0	genotype-orange	0.0	0.0	genotype-orange	genotype-orange_7
7.0	genotype-orange	0.0	0.0	genotype-orangea	genotype-orangea_7
7.0	genotype-red	0.0	0.0	genotype-reda	genotype-reda_7
7.0	genotype-0	50.0	0.5	genotype-0a	genotype-0a_7
8.0	genotype-0	50.0	0.5	genotype-0	genotype-0_8
8.0	genotype-red	0.0	0.0	genotype-red	genotype-red_8
8.0	genotype-green	0.0	0.0	genotype-green	genotype-green_8
8.0	genotype-aqua	0.0	0.0	genotype-aqua	genotype-aqua_8
8.0	genotype-sienna	0.0	0.0	genotype-sienna	genotype-sienna_8
8.0	genotype-sienna	0.0	0.0	genotype-siennaa	genotype-siennaa_8
8.0	genotype-orchid	0.0	0.0	genotype-orchid	genotype-orchid_8
8.0	genotype-orchid	0.0	0.0	genotype-orchida	genotype-orchida_8
8.0	genotype-aqua	0.0	0.0	genotype-aquaa	genotype-aquaa_8
8.0	genotype-green	0.0	0.0	genotype-greena	genotype-greena_8
8.0	genotype-orange	0.0	0.0	genotype-orange	genotype-orange_8
8.0	genotype-orange	0.0	0.0	genotype-orangea	genotype-orangea_8
8.0	genotype-red	0.0	0.0	genotype-reda	genotype-reda_8
8.0	genotype-0	50.0	0.5	genotype-0a	genotype-0a_8
9.0	genotype-0	50.0	0.5	genotype-0	genotype-0_9
9.0	genotype-red	0.0	0.0	genotype-red	genotype-red_9
9.0	genotype-green	0.0	0.0	genotype-green	genotype-green_9
9.0	genotype-aqua	0.0	0.0	genotype-aqua	genotype-aqua_9
9.0	genotype-sienna	0.0	0.0	genotype-sienna	genotype-sienna_9
9.0	genotype-sienna	0.0	0.0	genotype-siennaa	genotype-siennaa_9
9.0	genotype-orchid	0.0	0.0	genotype-orchid	genotype-orchid_9
9.0	genotype-orchid	0.0	0.0	genotype-orchida	genotype-orchida_9
9.0	genotype-aqua	0.0	0.0	genotype-aquaa	genotype-aquaa_9
9.0	genotype-green	0.0	0.0	genotype-greena	genotype-greena_9
9.0	genotype-orange	0.0	0.0	genotype-orange	genotype-orange_9
9.0	genotype-orange	0.0	0.0	genotype-orangea	genotype-orangea_9
9.0	genotype-red	0.0	0.0	genotype-reda	genotype-reda_9
9.0	genotype-0	50.0	0.5	genotype-0a	genotype-0a_9
10.0	genotype-0	50.0	0.5	genotype-0	genotype-0_10
10.0	genotype-red	0.0	0.0	genotype-red	genotype-red_10
10.0	genotype-green	0.0	0.0	genotype-green	genotype-green_10
10.0	genotype-aqua	0.0	0.0	genotype-aqua	genotype-aqua_10
10.0	genotype-sienna	0.0	0.0	genotype-sienna	genotype-sienna_10
10.0	genotype-sienna	0.0	0.0	genotype-siennaa	genotype-siennaa_10
10.0	genotype-orchid	0.0	0.0	genotype-orchid	genotype-orchid_10
10.0	genotype-orchid	0.0	0.0	genotype-orchida	genotype-orchida_10
10.0	genotype-aqua	0.0	0.0	genotype-aquaa	genotype-aquaa_10
10.0	genotype-green	0.0	0.0	genotype-greena	genotype-greena_10
10.0	genotype-orange	0.0	0.0	genotype-orange	genotype-orange_10
10.0	genotype-orange	0.0	0.0	genotype-orangea	genotype-orangea_10
10.0	genotype-red	0.0	0.0	genotype-reda	genotype-reda_10
10.0	genotype-0	50.0	0.5	genotype-0a	genotype-0a_10
11.0	genotype-0	50.0	0.5	genotype-0	genotype-0_11
11.0	genotype-red	0.0	0.0	genotype-red	genotype-red_11
11.0	genotype-green	0.0	0.0	genotype-green	genotype-green_11
11.0	genotype-aqua	0.0	0.0	genotype-aqua	genotype-aqua_11
11.0	genotype-sienna	0.0	0.0	genotype-sienna	genotype-sienna_11
11.0	genotype-sienna	0.0	0.0	genotype-siennaa	genotype-siennaa_11
11.0	genotype-orchid	0.0	0.0	genotype-orchid	genotype-orchid_11
11.0	genotype-orchid	0.0	0.0	genotype-orchida	genotype-orchida_11
11.0	genotype-aqua	0.0	0.0	genotype-aquaa	genotype-aquaa_11
11.0	genotype-green	0.0	0.0	genotype-greena	genotype-greena_11
11.0	genotype-orange	0.0	0.0	genotype-orange	genotype-orange_11
11.0	genotype-orange	0.0	0.0	genotype-orangea	genotype-orangea_11
11.0	genotype-red	0.0	0.0	genotype-reda	genotype-reda_11
11.0	genotype-0	50.0	0.5	genotype-0a	genotype-0a_11
11.5	genotype-0	49.99968766514753	0.5	genotype-0	genotype-0_11.5
11.5	genotype-red	0.0	0.0	genotype-red	genotype-red_11.5
11.5	genotype-green	0.0	0.0	genotype-green	genotype-green_11.5
11.5	genotype-aqua	0.0	0.0	genotype-aqua	genotype-aqua_11.5
11.5	genotype-sienna	0.0	0.0	genotype-sienna	genotype-sienna_11.5
11.5	genotype-sienna	0.0	0.0	genotype-siennaa	genotype-siennaa_11.5
11.5	genotype-orchid	0.0	0.0	genotype-orchid	genotype-orchid_11.5
11.5	genotype-orchid	0.0	0.0	genotype-orchida	genotype-orchida_11.5
11.5	genotype-aqua	0.0	0.0	genotype-aquaa	genotype-aquaa_11.5
11.5	genotype-green	0.0	0.0	genotype-greena	genotype-greena_11.5
11.5	genotype-orange	0.0	0.0	genotype-orange	genotype-orange_11.5
11.5	genotype-orange	0.0	0.0	genotype-orangea	genotype-orangea_11.5
11.5	genotype-red	0.0	0.0	genotype-reda	genotype-reda_11.5
11.5	genotype-0	49.99968766514753	0.5	genotype-0a	genotype-0a_11.5
12.0	genotype-0	49.99937533029507	0.49999375330295065	genotype-0	genotype-0_12
12.0	genotype-red	0.0	0.0	genotype-red	genotype-red_12
12.0	genotype-green	0.0	0.0	genotype-green	genotype-green_12
12.0	genotype-aqua	0.0	0.0	genotype-aqua	genotype-aqua_12
12.0	genotype-sienna	0.0	0.0	genotype-sienna	genotype-sienna_12
12.0	genotype-sienna	0.0	0.0	genotype-siennaa	genotype-siennaa_12
12.0	genotype-orchid	0.0	0.0	genotype-orchid	genotype-orchid_12
12.0	genotype-orchid	0.0	0.0	genotype-orchida	genotype-orchida_12
12.0	genotype-aqua	0.0	0.0	genotype-aquaa	genotype-aquaa_12
12.0	genotype-green	0.0	0.0	genotype-greena	genotype-greena_12
12.0	genotype-orange	0.000624669704931425	6.24669704931425e-06	genotype-orange	genotype-orange_12
12.0	genotype-orange	0.000624669704931425	6.24669704931425e-06	genotype-orangea	genotype-orangea_12
12.0	genotype-red	0.0	0.0	genotype-reda	genotype-reda_12
12.0	genotype-0	49.99937533029507	0.49999375330295065	genotype-0a	genotype-0a_12
13.0	genotype-0	49.99606180344072	0.49996061803440717	genotype-0	genotype-0_13
13.0	genotype-red	0.0	0.0	genotype-red	genotype-red_13
13.0	genotype-green	0.0	0.0	genotype-green	genotype-green_13
13.0	genotype-aqua	0.0	0.0	genotype-aqua	genotype-aqua_13
13.0	genotype-sienna	0.0	0.0	genotype-sienna	genotype-sienna_13
13.0	genotype-sienna	0.0	0.0	genotype-siennaa	genotype-siennaa_13
13.0	genotype-orchid	0.0	0.0	genotype-orchid	genotype-orchid_13
13.0	genotype-orchid	0.0	0.0	genotype-orchida	genotype-orchida_13
13.0	genotype-aqua	0.0	0.0	genotype-aquaa	genotype-aquaa_13
13.0	genotype-green	0.0	0.0	genotype-greena	genotype-greena_13
13.0	genotype-orange	0.0039381965592794055	3.938196559279406e-05	genotype-orange	genotype-orange_13
13.0	genotype-orange	0.0039381965592794055	3.938196559279406e-05	genotype-orangea	genotype-orangea_13
13.0	genotype-red	0.0	0.0	genotype-reda	genotype-reda_13
13.0	genotype-0	49.99606180344072	0.49996061803440717	genotype-0a	genotype-0a_13
14.0	genotype-0	49.981621417251304	0.49981621417251304	genotype-0	genotype-0_14
14.0	genotype-red	0.0	0.0	genotype-red	genotype-red_14
14.0	genotype-green	0.0	0.0	genotype-green	genotype-green_14
14.0	genotype-aqua	0.0	0.0	genotype-aqua	genotype-aqua_14
14.0	genotype-sienna	0.0	0.0	genotype-sienna	genotype-sienna_14
14.0	genotype-sienna	0.0	0.0	genotype-siennaa	genotype-siennaa_14
14.0	genotype-orchid	0.0	0.0	genotype-orchid	genotype-orchid_14
14.0	genotype-orchid	0.0	0.0	genotype-orchida	genotype-orchida_14
14.0	genotype-aqua	0.0	0.0	genotype-aquaa	genotype-aquaa_14
14.0	genotype-green	0.0	0.0	genotype-greena	genotype-greena_14
14.0	genotype-orange	0.01837858274869915	0.00018378582748699147	genotype-orange	genotype-orange_14
14.0	genotype-orange	0.01837858274869915	0.00018378582748699147	genotype-orangea	genotype-orangea_14
