	0	30	45	60	90
genotype-10	0.0	0.167	0.55	0.91	0.972
genotype-8	0.0	0.02	0.265	0.9	0.97
genotype-11	0.0	0.0	0.15	0.836	0.945
genotype-7	0.0	0.0	0.0	0.92	0.98
genotype-9	0.0	0.096818181818182	0.4625	0.6799999999999999	0.854
genotype-2	0.0	0.3345	0.28125	0.095	0.045
genotype-12	0.0	0.0	0.3	0.03	0.03
genotype-5	0.0	0.0	0.0	0.0	0.263
genotype-1	0.0	0.139	0.0	0.0	0.0
genotype-3	0.0	0.051500000000000004	0.0	0.0	0.005
genotype-6	0.0	0.0033333333333333335	0.0033333333333333335	0.0033333333333333335	0.07066666666666667
genotype-4	0.0	0.0	0.0	0.0225	0.013500000000000002
