	left	right	distance	observations	clusterId
0	11	16	0.03076482379152546	2	22
1	7	12	0.03856985924301076	2	23
2	6	22	0.06198975583563644	3	24
3	1	0	0.06540726727631457	2	25
4	4	20	0.07358521380100257	2	26
5	3	2	0.12020846598096009	2	27
6	24	8	0.13398688707037842	4	28
7	15	21	0.15508585112833934	2	29
8	23	9	0.17730771768056497	3	30
9	14	5	0.21455956195564546	2	31
10	18	13	0.25511422905249936	2	32
11	25	26	0.29697073828422194	4	33
12	31	30	0.3213827857222104	5	34
13	10	32	0.47212012088318944	3	35
14	17	29	0.5259450776621052	3	36
15	19	27	0.5289783720282406	3	37
16	33	34	0.7261928201097312	9	38
17	35	36	1.149375429358926	6	39
18	38	28	1.1501466704103314	13	40
19	37	40	1.6201065102449306	16	41
20	39	41	4.8953290098453754	22	42
