	Generation	Identity	Population
0	0	genotype-10	0.0
1	30	genotype-10	7.018181818181802
2	45	genotype-10	8.750000000000002
3	60	genotype-10	1.0
4	90	genotype-10	1.0
5	0	genotype-8	0.0
6	30	genotype-8	0.0
7	45	genotype-8	11.500000000000002
8	60	genotype-8	6.400000000000006
9	90	genotype-8	1.0
10	0	genotype-11	0.0
11	30	genotype-11	0.0
12	45	genotype-11	15.0
13	60	genotype-11	1.0
14	90	genotype-11	1.0
15	0	genotype-7	0.0
16	30	genotype-7	0.0
17	45	genotype-7	0.0
18	60	genotype-7	92.0
19	90	genotype-7	71.7
20	0	genotype-9	0.0
21	30	genotype-9	9.6818181818182
22	45	genotype-9	46.25
23	60	genotype-9	68.0
24	90	genotype-9	85.39999999999999
25	0	genotype-2	0.0
26	30	genotype-2	33.45
27	45	genotype-2	28.125
28	60	genotype-2	9.5
29	90	genotype-2	4.5
30	0	genotype-12	0.0
31	30	genotype-12	0.0
32	45	genotype-12	30.0
33	60	genotype-12	3.0
34	90	genotype-12	3.0
35	0	genotype-5	0.0
36	30	genotype-5	0.0
37	45	genotype-5	0.0
38	60	genotype-5	0.0
39	90	genotype-5	26.3
40	0	genotype-1	0.0
41	30	genotype-1	13.900000000000002
42	45	genotype-1	0.0
43	60	genotype-1	0.0
44	90	genotype-1	0.0
45	0	genotype-3	0.0
46	30	genotype-3	5.15
47	45	genotype-3	0.0
48	60	genotype-3	0.0
49	90	genotype-3	0.5
50	0	genotype-6	0.0
51	30	genotype-6	0.33333333333333337
52	45	genotype-6	0.33333333333333337
53	60	genotype-6	0.33333333333333337
54	90	genotype-6	7.066666666666667
55	0	genotype-4	0.0
56	30	genotype-4	0.0
57	45	genotype-4	0.0
58	60	genotype-4	2.25
59	90	genotype-4	1.35
60	0	genotype-0	100.0
61	30	genotype-0	30.466666666666654
62	45	genotype-0	0.0
63	60	genotype-0	0.0
64	90	genotype-0	0.0
