	nestedGenotype	scoreArea	scoreDerivative	scoreFixed	scoreGreater	totalScore	unnestedGenotype
0	genotype-10	2	2	1	1.0	6.0	genotype-8
1	genotype-8	2	2	1	1.0	6.0	genotype-11
2	genotype-10	2	2	1	1.0	6.0	genotype-11
3	genotype-11	2	0	1	-1.0	2.0	genotype-7
4	genotype-8	2	0	1	1.0	4.0	genotype-7
5	genotype-10	2	0	1	1.0	4.0	genotype-7
6	genotype-7	0	0	1	0.0	1.0	genotype-9
7	genotype-11	0	2	1	0.0	3.0	genotype-9
8	genotype-8	0	2	1	0.0	3.0	genotype-9
9	genotype-10	2	2	1	1.0	6.0	genotype-9
10	genotype-9	0	0	0	0.0	0.0	genotype-2
11	genotype-7	-2	0	1	0.0	-1.0	genotype-2
12	genotype-11	0	0	0	0.0	0.0	genotype-2
13	genotype-8	0	0	0	0.0	0.0	genotype-2
14	genotype-10	0	0	0	0.0	0.0	genotype-2
15	genotype-2	0	0	0	1.0	1.0	genotype-12
16	genotype-9	0	0	0	1.0	1.0	genotype-12
17	genotype-7	0	0	0	-1.0	-1.0	genotype-12
18	genotype-11	0	0	0	1.0	1.0	genotype-12
19	genotype-8	0	0	0	1.0	1.0	genotype-12
20	genotype-10	0	0	0	1.0	1.0	genotype-12
21	genotype-12	-2	0	0	-1.0	-3.0	genotype-5
22	genotype-2	0	0	0	0.0	0.0	genotype-5
23	genotype-9	0	0	0	1.0	1.0	genotype-5
24	genotype-7	2	0	1	1.0	4.0	genotype-5
25	genotype-11	2	0	0	1.0	3.0	genotype-5
26	genotype-8	2	0	0	1.0	3.0	genotype-5
27	genotype-10	2	0	0	1.0	3.0	genotype-5
28	genotype-5	-2	0	0	-1.0	-3.0	genotype-1
29	genotype-12	0	0	0	-1.0	-1.0	genotype-1
30	genotype-2	0	0	0	1.0	1.0	genotype-1
31	genotype-9	0	0	0	1.0	1.0	genotype-1
32	genotype-7	-2	0	0	-1.0	-3.0	genotype-1
33	genotype-11	-2	0	0	-1.0	-3.0	genotype-1
34	genotype-8	0	0	0	-1.0	-1.0	genotype-1
35	genotype-10	0	0	0	1.0	1.0	genotype-1
36	genotype-1	0	0	0	1.0	1.0	genotype-3
37	genotype-5	-2	0	0	-1.0	-3.0	genotype-3
38	genotype-12	0	0	0	-1.0	-1.0	genotype-3
39	genotype-2	0	0	0	1.0	1.0	genotype-3
40	genotype-9	0	0	0	1.0	1.0	genotype-3
41	genotype-7	-2	0	0	-1.0	-3.0	genotype-3
42	genotype-11	0	0	0	-1.0	-1.0	genotype-3
43	genotype-8	0	0	0	-1.0	-1.0	genotype-3
44	genotype-10	0	0	0	1.0	1.0	genotype-3
45	genotype-3	-2	0	0	-1.0	-3.0	genotype-6
46	genotype-1	-2	0	0	-1.0	-3.0	genotype-6
47	genotype-5	0	0	0	1.0	1.0	genotype-6
48	genotype-12	0	0	0	-1.0	-1.0	genotype-6
49	genotype-2	0	0	0	1.0	1.0	genotype-6
50	genotype-9	0	0	0	1.0	1.0	genotype-6
51	genotype-7	0	0	0	1.0	1.0	genotype-6
52	genotype-11	0	0	0	1.0	1.0	genotype-6
53	genotype-8	0	0	0	1.0	1.0	genotype-6
54	genotype-10	0	0	0	1.0	1.0	genotype-6
55	genotype-6	0	0	0	-1.0	-1.0	genotype-4
56	genotype-3	-2	0	0	-1.0	-3.0	genotype-4
57	genotype-1	-2	0	0	-1.0	-3.0	genotype-4
58	genotype-5	0	0	0	-1.0	-1.0	genotype-4
59	genotype-12	0	0	0	-1.0	-1.0	genotype-4
60	genotype-2	0	0	0	-1.0	-1.0	genotype-4
61	genotype-9	0	0	0	-1.0	-1.0	genotype-4
62	genotype-7	0	0	0	-1.0	-1.0	genotype-4
63	genotype-11	0	0	0	-1.0	-1.0	genotype-4
64	genotype-8	0	0	0	-1.0	-1.0	genotype-4
65	genotype-10	0	0	0	-1.0	-1.0	genotype-4
